ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52378579	52378730	52378579	52378697	52382489	52382942
1	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52378579	52378730	52378579	52378697	52383188	52383340
2	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52378579	52378730	52378579	52378697	52386672	52387088
3	"ENSMUSG00000091151.3"	"Vmn1r224"	chr17	+	20634407	20634919	20634407	20634714	20636701	20636795
4	"ENSMUSG00000016327.10"	"Atp1b4"	chrX	+	37409387	37409649	37409387	37409637	37413521	37413650
5	"ENSMUSG00000043019.13"	"Edem3"	chr1	+	151681600	151681754	151681600	151681697	151683116	151683308
6	"ENSMUSG00000020898.19"	"Ctc1"	chr11	+	68911855	68912019	68911855	68911941	68913202	68913440
7	"ENSMUSG00000030589.16"	"Rasgrp4"	chr7	+	28848411	28848571	28848411	28848556	28849223	28849260
8	"ENSMUSG00000059447.14"	"Hadhb"	chr5	+	30360269	30360384	30360269	30360380	30368666	30368741
9	"ENSMUSG00000026113.18"	"Inpp4a"	chr1	+	37419002	37419258	37419002	37419141	37422419	37422452
10	"ENSMUSG00000026644.8"	"Acbd7"	chr2	+	3341369	3341490	3341369	3341487	3341591	3341654
11	"ENSMUSG00000028295.15"	"Smim8"	chr4	-	34771873	34772053	34771877	34772053	34771257	34771414
12	"ENSMUSG00000040328.17"	"Olfr56"	chr11	+	49015110	49015366	49015110	49015138	49018661	49018756
13	"ENSMUSG00000025237.17"	"Parp6"	chr9	+	59537901	59538112	59537901	59538052	59538622	59538676
14	"ENSMUSG00000047284.15"	"Neurl4"	chr11	+	69798662	69798838	69798662	69798832	69798921	69799053
15	"ENSMUSG00000031105.17"	"Slc25a14"	chrX	+	47712838	47713083	47712838	47713074	47714472	47714517
16	"ENSMUSG00000031105.17"	"Slc25a14"	chrX	+	47712838	47713083	47712838	47713074	47718128	47718222
17	"ENSMUSG00000060985.16"	"Tdrd5"	chr1	-	156129083	156129476	156129314	156129476	156128166	156128360
18	"ENSMUSG00000041396.14"	"Mettl18"	chr1	+	163822457	163822640	163822457	163822546	163823482	163824812
19	"ENSMUSG00000023074.12"	"Mospd1"	chrX	-	52444529	52444750	52444532	52444750	52436580	52436742
20	"ENSMUSG00000008153.13"	"Clstn3"	chr6	-	124409645	124410462	124410366	124410462	124408916	124409119
21	"ENSMUSG00000021314.14"	"Amph"	chr13	+	19305444	19305501	19305444	19305489	19309195	19309318
